"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"AF1105, AF8","FCO","JFK","flyingblue","10/18 12:30PM","10/18 6:45PM","735","1","Airbus A320, Boeing 777-300ER","CDG","66500","","5","","","","224.83","USD","0","","9","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/28 12:30PM","10/28 7:55PM","745","1","Airbus A320, Boeing 777-300ER","CDG","96500","","9","","","","224.73","USD","0","","","","","","","","0","","9","","","","455.33","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","10/15 10:10AM","10/15 2:07PM","597","0","Airbus A330-300","","54000","","9","","","","55.63","EUR","0","","5","","","","55.63","EUR","0","","5","","","","55.63","EUR","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/12 10:00AM","10/12 3:50PM","710","1","Airbus A220, Boeing 777-300ER","CDG","25500","","9","","","","226.33","USD","0","","9","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","10/18 10:10AM","10/18 2:07PM","597","0","Airbus A330-300","","58000","","9","","","","55.63","EUR","175000","","4","","","","55.63","EUR","0","","5","","","","55.63","EUR","0","","","","","","",""
"DL67, DL2386","FCO","JFK","delta","11/02 1:30PM","11/03 12:59AM","1049","1","Airbus A330-900neo, Boeing 737-900","ATL","56000","","8","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/21 10:00AM","10/21 6:45PM","885","1","Airbus A320, Boeing 777-300ER","CDG","47500","","9","","","","226.33","USD","0","","8","","","","323.93","USD","0","","7","","","","458.73","USD","0","","","","","","",""
"DL113, DL5702","FCO","JFK","delta","10/13 1:10PM","10/13 10:15PM","905","1","Airbus A330-300, Embraer E175","BOS","76000","","7","","","","60.49","EUR","0","","","","","","","","0","","8","","","","60.49","EUR","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/06 12:45PM","10/06 7:15PM","750","1","Airbus A321neo, Boeing 787-10","AMS","25000","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","9","","","","455.43","USD","0","","","","","","",""
"DL207, DL2934","FCO","JFK","delta","10/08 9:00AM","10/08 6:07PM","907","1","Airbus A330-300, Airbus A319","DTW","62000","","7","","","","60.49","EUR","0","","","","","","","","0","","4","","","","60.49","EUR","0","","","","","","",""
"DL215, DL2398","FCO","JFK","delta","10/14 9:45AM","10/14 7:19PM","934","1","Airbus A330-900neo, Boeing 737-900","ATL","49000","","9","","","","60.52","EUR","0","","","","","","","","0","","2","","","","60.52","EUR","0","","","","","","",""
"DL207, DL2934","FCO","JFK","delta","10/22 9:00AM","10/22 6:07PM","907","1","Airbus A330-300, Airbus A319","DTW","54000","","9","","","","60.49","EUR","0","","","","","","","","0","","2","","","","60.49","EUR","0","","","","","","",""
"AF1005, AF6","FCO","JFK","flyingblue","10/27 6:00AM","10/27 5:00PM","960","1","Airbus A320, Boeing 777-300ER","CDG","66500","","9","","","","224.73","USD","0","","6","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"DL231","FCO","JFK","delta","10/20 12:15PM","10/20 4:11PM","596","0","Airbus A330-300","","49000","","9","","","","55.63","EUR","0","","","","","","","","0","","3","","","","55.63","EUR","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/22 6:05AM","10/22 12:55PM","770","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","88500","","9","","","","321.63","USD","0","","5","","","","455.53","USD","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/29 10:20AM","10/29 7:55PM","875","1","Airbus A320, Boeing 777-300ER","CDG","79000","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","8","","","","455.33","USD","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/28 10:20AM","10/28 7:55PM","875","1","Airbus A320, Boeing 777-300ER","CDG","96500","","2","","","","224.73","USD","0","","5","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/12 6:30AM","10/12 2:35PM","845","1","Airbus A321neo, Boeing 787-10","AMS","25000","","9","","","","226.33","USD","0","","9","","","","323.93","USD","0","","6","","","","458.73","USD","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","10/13 10:35AM","10/13 7:15PM","880","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","9","","","","455.43","USD","0","","","","","","",""
"AC893, AC8898","FCO","JFK","aeroplan","10/25 12:15PM","10/25 8:58PM","823","1","Boeing 777-300ER, Embraer E175","YUL","50000","","9","","","","126.70","CAD","0","","","","","","","","0","","9","","","","126.70","CAD","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/21 12:30PM","10/21 8:45PM","855","1","Airbus A320, Boeing 777-300ER","CDG","25000","","2","","","","226.33","USD","89000","","9","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","11/03 11:45AM","11/03 3:50PM","605","0","Airbus A330-300","","56000","","9","","","","55.63","EUR","0","","9","","","","55.63","EUR","0","","9","","","","55.63","EUR","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/13 12:45PM","10/13 7:15PM","750","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","9","","","","455.43","USD","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/21 12:30PM","10/21 6:45PM","735","1","Airbus A320, Boeing 777-300ER","CDG","35000","","9","","","","226.33","USD","0","","9","","","","323.93","USD","0","","4","","","","458.73","USD","0","","","","","","",""
"DL231","FCO","JFK","delta","10/25 1:00PM","10/25 6:02PM","602","0","Airbus A330-300","","49000","","9","","","","55.63","EUR","0","","7","","","","55.63","EUR","0","","9","","","","55.63","EUR","0","","","","","","",""
"DL207, DL2934","FCO","JFK","delta","10/12 9:00AM","10/12 6:07PM","907","1","Airbus A330-300, Airbus A319","DTW","56000","","9","","","","60.49","EUR","0","","","","","","","","0","","3","","","","60.49","EUR","0","","","","","","",""
"DL183","FCO","JFK","delta","10/29 11:45AM","10/29 4:50PM","605","0","Airbus A330-300","","54000","","7","","","","55.63","EUR","0","","7","","","","55.63","EUR","0","","9","","","","55.63","EUR","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/07 12:45PM","10/07 7:15PM","750","1","Airbus A321neo, Boeing 787-10","AMS","18750","","5","","","","224.63","USD","89000","","8","","","","321.43","USD","0","","9","","","","455.23","USD","0","","","","","","",""
"DL207, DL1316","FCO","JFK","delta","11/01 10:00AM","11/01 9:44PM","1064","1","Airbus A330-300, Airbus A319","DTW","72000","","2","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/25 4:20PM","10/25 11:45PM","745","1","Airbus A320, Boeing 777-300ER","CDG","40500","","9","","","","226.33","USD","0","","","","","","","","0","","9","","","","458.73","USD","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/25 6:10AM","10/25 4:00PM","890","1","Boeing 737-900, Boeing 787-10","AMS","40500","","8","","","","226.33","USD","0","","9","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/14 6:30AM","10/14 2:35PM","845","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","88500","","4","","","","321.52","USD","0","","6","","","","455.43","USD","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","11/02 6:10AM","11/02 3:00PM","890","1","Boeing 737-900, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","7","","","","455.43","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","10/14 10:10AM","10/14 2:07PM","597","0","Airbus A330-300","","49000","","9","","","","55.65","EUR","0","","","","","","","","0","","9","","","","55.65","EUR","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/12 3:30PM","10/12 10:40PM","790","1","Airbus A320, Airbus A350-900","CDG","18750","","9","","","","226.33","USD","89000","","4","","","","323.93","USD","0","","2","","","","458.73","USD","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/19 6:05AM","10/19 12:55PM","770","1","Airbus A320, Boeing 777-300ER","CDG","47500","","9","","","","224.73","USD","0","","3","","","","321.52","USD","0","","5","","","","455.33","USD","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/22 12:30PM","10/22 8:45PM","855","1","Airbus A321, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","40000","","8","","","","321.63","USD","0","","6","","","","455.53","USD","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/15 12:45PM","10/15 7:15PM","750","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.63","USD","89000","","4","","","","321.43","USD","0","","3","","","","455.23","USD","0","","","","","","",""
"AF1105, AF12","FCO","JFK","flyingblue","11/01 12:30PM","11/01 10:45PM","975","1","Airbus A320, Boeing 777-300ER","CDG","57000","","3","","","","224.83","USD","0","","9","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"KL1602, KL645","FCO","JFK","flyingblue","10/18 10:35AM","10/18 5:05PM","750","1","Airbus A321neo, Boeing 777-200","AMS","35000","","2","","","","224.73","USD","0","","9","","","","321.52","USD","0","","6","","","","455.43","USD","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/19 10:00AM","10/19 3:50PM","710","1","Airbus A220, Boeing 777-300ER","CDG","57000","","9","","","","224.73","USD","0","","4","","","","321.52","USD","0","","2","","","","455.33","USD","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","11/02 6:00AM","11/02 12:55PM","775","1","Airbus A320, Boeing 777-300ER","CDG","25500","","9","","","","224.83","USD","0","","3","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"DL299, DL2692","FCO","JFK","delta","10/07 2:45PM","10/07 11:47PM","902","1","Airbus A330-900neo, Airbus A220","MSP","120000","","9","","","","60.49","EUR","0","","","","","","","","0","","4","","","","60.49","EUR","0","","","","","","",""
"DL67, DL2386","FCO","JFK","delta","10/26 1:30PM","10/27 12:59AM","989","1","Airbus A330-900neo, Boeing 737-900","ATL","49000","","2","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/13 6:30AM","10/13 2:35PM","845","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","9","","","","455.43","USD","0","","","","","","",""
"DL231","FCO","JFK","delta","10/22 12:15PM","10/22 4:11PM","596","0","Airbus A330-300","","54000","","9","","","","55.63","EUR","0","","","","","","","","0","","8","","","","55.63","EUR","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/29 6:10AM","10/29 4:00PM","890","1","Boeing 737-900, Boeing 787-9","AMS","79000","","9","","","","224.63","USD","0","","9","","","","321.43","USD","0","","4","","","","455.23","USD","0","","","","","","",""
"AF1005, AF6","FCO","JFK","flyingblue","11/02 6:00AM","11/02 4:00PM","960","1","Airbus A320, Boeing 777-300ER","CDG","25500","","9","","","","224.83","USD","0","","3","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"DL215, DL2398","FCO","JFK","delta","10/19 9:45AM","10/19 7:19PM","934","1","Airbus A330-900neo, Boeing 737-900","ATL","49000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
