"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"DL230","JFK","FCO","delta","11/04 8:45PM","11/05 11:00AM","495","0","Airbus A330-300","","47700","","9","","","","5.60","USD","0","","9","","","","5.60","USD","0","","4","","","","5.60","USD","0","","","","","","",""
"DL5595, DL112","JFK","FCO","delta","10/08 2:00PM","10/09 6:50AM","650","1","Embraer E175, Airbus A330-300","BOS","75700","","9","","","","5.60","USD","0","","","","","","","","0","","9","","","","5.60","USD","0","","","","","","",""
"DL5733, DL112","JFK","FCO","delta","10/08 9:59AM","10/09 6:50AM","891","1","Embraer E175, Airbus A330-300","BOS","53100","","7","","","","5.60","USD","0","","","","","","","","0","","9","","","","5.60","USD","0","","","","","","",""
"AF9, AF1604","JFK","FCO","flyingblue","10/12 11:30PM","10/13 5:30PM","720","1","Boeing 777-300ER, Airbus A220","CDG","25000","","9","","","","156.30","USD","40000","","9","","","","248.50","USD","141500","","9","","","","363.90","USD","0","","","","","","",""
"AF1, AF1204","JFK","FCO","flyingblue","10/27 5:30PM","10/28 9:20AM","650","1","Boeing 777-200, Airbus A320","CDG","18750","","4","","","","156.30","USD","90000","","6","","","","248.50","USD","0","","7","","","","363.90","USD","0","","","","","","",""
"AF11, AF1404","JFK","FCO","flyingblue","10/15 1:00AM","10/15 7:05PM","725","1","Airbus A350-900, Airbus A220","CDG","25000","","9","","","","156.30","USD","90000","","9","","","","248.50","USD","0","","5","","","","363.90","USD","0","","","","","","",""
"DL1480, DL298","JFK","FCO","delta","10/11 3:40PM","10/12 12:40PM","900","1","Boeing 737-900, Airbus A350-900","ATL","34700","","9","","","","5.60","USD","0","","","","","","","","0","","4","","","","5.60","USD","0","","","","","","",""
"DL5595, DL112","JFK","FCO","delta","10/13 2:00PM","10/14 6:50AM","650","1","Embraer E175, Airbus A330-300","BOS","29900","","9","","","","5.60","USD","0","","","","","","","","0","","6","","","","5.60","USD","0","","","","","","",""
"AF3, AF1104","JFK","FCO","delta","10/20 5:30PM","10/21 11:25AM","715","1","Boeing 777-300ER, Airbus A320","CDG","37000","","9","","","","24.60","USD","0","","","","","","","","0","","9","","","","24.60","USD","0","","","","","","",""
"DL182","JFK","FCO","delta","10/12 5:30PM","10/13 7:55AM","505","0","Airbus A330-300","","34700","","9","","","","5.60","USD","122400","","3","","","","5.60","USD","0","","6","","","","5.60","USD","0","","","","","","",""
"KL644, KL1605","JFK","FCO","flyingblue","11/03 9:20PM","11/04 4:20PM","780","1","Boeing 787-10, Airbus A321neo","AMS","128500","","9","","","","167.80","USD","90500","","4","","","","260.00","USD","0","","7","","","","375.30","USD","0","","","","","","",""
"DL2342, DL298","JFK","FCO","delta","10/18 1:10PM","10/19 12:40PM","1050","1","Boeing 737-900, Airbus A350-900","ATL","29900","","9","","","","5.60","USD","0","","","","","","","","0","","5","","","","5.60","USD","0","","","","","","",""
"AF11, AF1304","JFK","FCO","delta","10/28 2:00AM","10/28 5:25PM","625","1","Boeing 777-300ER, Airbus A320","CDG","37000","","9","","","","24.60","USD","0","","","","","","","","0","","9","","","","24.60","USD","0","","","","","","",""
"AF5, AF1104","JFK","FCO","flyingblue","10/29 7:30PM","10/30 11:30AM","660","1","Boeing 777-300ER, Airbus A320","CDG","41500","","8","","","","156.30","USD","90000","","3","","","","248.50","USD","0","","9","","","","363.90","USD","0","","","","","","",""
"AF9, AF1604","JFK","FCO","flyingblue","10/19 11:30PM","10/20 5:30PM","720","1","Boeing 777-300ER, Airbus A220","CDG","18750","","4","","","","156.30","USD","40000","","9","","","","248.50","USD","150500","","9","","","","363.90","USD","0","","","","","","",""
"DL182","JFK","FCO","delta","10/28 6:20PM","10/29 7:45AM","505","0","Airbus A330-300","","54900","","9","","","","5.60","USD","0","","9","","","","5.60","USD","0","","3","","","","5.60","USD","0","","","","","","",""
"AF3, AF1104","JFK","FCO","delta","10/13 5:30PM","10/14 11:25AM","715","1","Boeing 777-300ER, Airbus A320","CDG","37000","","9","","","","24.60","USD","0","","","","","","","","0","","8","","","","24.60","USD","0","","","","","","",""
"AF5, AF1104","JFK","FCO","flyingblue","10/21 6:30PM","10/22 11:25AM","655","1","Boeing 777-300ER, Airbus A321","CDG","25000","","9","","","","157.19","USD","0","","","","","","","","0","","9","","","","366.30","USD","0","","","","","","",""
"AF3, AF1104","JFK","FCO","flyingblue","10/29 6:30PM","10/30 11:30AM","720","1","Boeing 777-300ER, Airbus A320","CDG","0","","","","","","","","90000","","5","","","","248.50","USD","0","","9","","","","363.90","USD","0","","","","","","",""
"AF5, AF1104","JFK","FCO","flyingblue","10/14 6:30PM","10/15 11:25AM","655","1","Boeing 777-300ER, Airbus A320","CDG","26000","","9","","","","156.30","USD","0","","","","","","","","0","","4","","","","363.90","USD","0","","","","","","",""
"AF7, AF1504","JFK","FCO","flyingblue","10/18 9:30PM","10/19 2:25PM","655","1","Boeing 777-300ER, Airbus A320","CDG","25000","","9","","","","156.19","USD","90500","","9","","","","248.40","USD","0","","9","","","","363.70","USD","0","","","","","","",""
"DL182","JFK","FCO","delta","10/11 5:30PM","10/12 7:55AM","505","0","Airbus A330-300","","34700","","9","","","","5.60","USD","122400","","7","","","","5.60","USD","0","","4","","","","5.60","USD","0","","","","","","",""
"AF11, AF1404","JFK","FCO","flyingblue","10/22 1:00AM","10/22 7:05PM","725","1","Airbus A350-900, Airbus A220","CDG","25000","","9","","","","157.19","USD","0","","","","","","","","0","","9","","","","366.30","USD","0","","","","","","",""
"AF11, AF1304","JFK","FCO","flyingblue","10/27 2:00AM","10/27 6:25PM","685","1","Boeing 777-300ER, Airbus A320","CDG","53000","","3","","","","248.50","USD","40000","","3","","","","248.50","USD","150500","","9","","","","363.90","USD","0","","","","","","",""
"DL2342, DL66","JFK","FCO","delta","10/11 1:10PM","10/12 10:50AM","940","1","Boeing 737-900, Airbus A330-900neo","ATL","34700","","9","","","","5.60","USD","0","","","","","","","","0","","7","","","","5.60","USD","0","","","","","","",""
"AF5, AF1104","JFK","FCO","flyingblue","10/08 6:30PM","10/09 11:25AM","655","1","Boeing 777-300ER, Airbus A320","CDG","26000","","9","","","","156.30","USD","0","","","","","","","","0","","9","","","","363.90","USD","0","","","","","","",""
"KL642, KL1601","JFK","FCO","flyingblue","10/20 4:40PM","10/21 9:35AM","655","1","Boeing 787-10, Airbus A321neo","AMS","18750","","9","","","","167.80","USD","90500","","5","","","","260.00","USD","151000","","3","","","","375.30","USD","0","","","","","","",""
"AF1, AF1204","JFK","FCO","flyingblue","10/28 5:30PM","10/29 9:20AM","650","1","Boeing 777-300ER, Airbus A320","CDG","25000","","9","","","","156.30","USD","90000","","9","","","","248.50","USD","0","","9","","","","363.90","USD","0","","","","","","",""
"KL644, KL1605","JFK","FCO","flyingblue","10/28 10:20PM","10/29 4:20PM","780","1","Boeing 787-10, Airbus A321neo","AMS","25000","","9","","","","167.90","USD","90000","","9","","","","260.10","USD","150500","","2","","","","375.50","USD","0","","","","","","",""
